cnpj;razao_social;numero_nota;data_emissao;codigo_item;descricao_item;quantidade;valor_unitario;imposto_item
35.987.640/0001-11;Araújo e Filhos;140429;2025-04-24;259764;O direito de mudar com toda a tranquilidade;9;225.07;363.36
35.987.640/0001-11;Araújo e Filhos;894015;2025-02-06;858324;A segurança de atingir seus objetivos antes de tudo;4;616.95;176.3
35.987.640/0001-11;Araújo e Filhos;894015;2025-02-06;961542;O conforto de concretizar seus projetos mais facilmente;5;559.79;599.93
35.987.640/0001-11;Araújo e Filhos;894015;2025-02-06;569636;O poder de conseguir mais rapidamente;5;790.42;688.31
35.987.640/0001-11;Araújo e Filhos;346895;2025-03-18;436379;O conforto de concretizar seus projetos mais facilmente;6;611.01;373.26
35.987.640/0001-11;Araújo e Filhos;346895;2025-03-18;962910;A certeza de atingir seus objetivos antes de tudo;7;519.74;692.45
35.987.640/0001-11;Araújo e Filhos;967168;2024-12-25;638702;A arte de ganhar naturalmente;10;375.96;568.68
35.987.640/0001-11;Araújo e Filhos;967168;2024-12-25;810516;O poder de inovar mais rapidamente;8;707.72;390.78
35.987.640/0001-11;Araújo e Filhos;967168;2024-12-25;703250;A segurança de realizar seus sonhos de maneira eficaz;2;703.34;340.05
35.987.640/0001-11;Araújo e Filhos;190610;2025-01-20;803251;A liberdade de avançar direto da fonte;9;621.8;367.05
35.987.640/0001-11;Araújo e Filhos;190610;2025-01-20;556633;A segurança de mudar simplesmente;4;253.57;181.1
35.987.640/0001-11;Araújo e Filhos;444863;2025-04-25;847036;A vantagem de evoluir simplesmente;3;313.6;203.93
35.987.640/0001-11;Araújo e Filhos;395832;2024-12-08;535509;A liberdade de avançar com força total;2;177.55;70.53
35.987.640/0001-11;Araújo e Filhos;395832;2024-12-08;915297;O direito de inovar antes de tudo;2;660.41;312.33
35.987.640/0001-11;Araújo e Filhos;395832;2024-12-08;476322;A vantagem de avançar mais facilmente;10;872.61;1145.47
35.987.640/0001-11;Araújo e Filhos;395832;2024-12-08;653288;O prazer de conseguir com toda a tranquilidade;8;134.74;222.01
35.987.640/0001-11;Araújo e Filhos;430922;2025-03-05;641640;O poder de mudar mais rapidamente;4;269.77;157.62
35.987.640/0001-11;Araújo e Filhos;851173;2025-03-08;892352;O prazer de inovar direto da fonte;5;210.83;243.45
35.987.640/0001-11;Araújo e Filhos;851173;2025-03-08;744191;A vantagem de conseguir antes de tudo;3;919.95;601.19
35.987.640/0001-11;Araújo e Filhos;248737;2025-02-25;897772;A liberdade de ganhar mais rapidamente;2;479.25;86.81
35.987.640/0001-11;Araújo e Filhos;248737;2025-02-25;668116;A segurança de atingir seus objetivos sem preocupação;2;711.94;169.17
35.987.640/0001-11;Araújo e Filhos;248737;2025-02-25;147302;O poder de ganhar direto da fonte;7;712.45;419.46
35.987.640/0001-11;Araújo e Filhos;248737;2025-02-25;151138;O conforto de atingir seus objetivos mais facilmente;4;578.56;302.49
35.987.640/0001-11;Araújo e Filhos;914733;2025-04-05;255806;A vantagem de realizar seus sonhos sem preocupação;4;142.6;119.23
35.987.640/0001-11;Araújo e Filhos;914733;2025-04-05;123909;O poder de inovar antes de tudo;2;471.9;87.69
35.987.640/0001-11;Araújo e Filhos;343721;2025-04-28;229221;O prazer de inovar sem preocupação;5;929.45;971.16
35.987.640/0001-11;Araújo e Filhos;343721;2025-04-28;191641;O direito de atingir seus objetivos antes de tudo;3;451.01;295.7
35.987.640/0001-11;Araújo e Filhos;343721;2025-04-28;596823;O direito de ganhar mais facilmente;9;726.0;618.02
35.987.640/0001-11;Araújo e Filhos;578633;2025-02-16;962663;A arte de inovar antes de tudo;5;122.92;110.88
35.987.640/0001-11;Araújo e Filhos;578633;2025-02-16;940848;A vantagem de inovar em estado puro;1;732.67;77.88
35.987.640/0001-11;Araújo e Filhos;578633;2025-02-16;166907;A possibilidade de mudar mais rapidamente;3;515.24;149.01
35.987.640/0001-11;Araújo e Filhos;578633;2025-02-16;227035;O poder de concretizar seus projetos em estado puro;6;861.93;903.42
35.987.640/0001-11;Araújo e Filhos;659545;2025-04-10;762081;O direito de concretizar seus projetos sem preocupação;4;139.96;90.41
35.987.640/0001-11;Araújo e Filhos;659545;2025-04-10;113660;O prazer de inovar simplesmente;4;264.16;90.58
35.987.640/0001-11;Araújo e Filhos;688175;2025-01-31;309890;A certeza de ganhar sem preocupação;3;510.65;234.94
35.987.640/0001-11;Araújo e Filhos;688175;2025-01-31;551450;O poder de realizar seus sonhos antes de tudo;1;651.07;114.54
35.987.640/0001-11;Araújo e Filhos;688175;2025-01-31;238776;O direito de inovar com toda a tranquilidade;6;742.22;845.76
35.987.640/0001-11;Araújo e Filhos;710132;2025-01-01;698555;O prazer de mudar antes de tudo;4;157.64;102.62
35.987.640/0001-11;Araújo e Filhos;710132;2025-01-01;350673;A possibilidade de evoluir simplesmente;10;968.73;1920.86
35.987.640/0001-11;Araújo e Filhos;710132;2025-01-01;463522;O direito de inovar com confiança;5;210.48;218.41
35.987.640/0001-11;Araújo e Filhos;710132;2025-01-01;838662;O prazer de mudar com toda a tranquilidade;10;414.02;827.32
35.987.640/0001-11;Araújo e Filhos;710132;2025-01-01;838743;A arte de evoluir com toda a tranquilidade;3;952.91;681.78
35.987.640/0001-11;Araújo e Filhos;154752;2024-11-16;911588;A certeza de conseguir de maneira eficaz;10;876.21;1581.28
35.987.640/0001-11;Araújo e Filhos;917968;2025-03-01;995281;O conforto de concretizar seus projetos mais rapidamente;10;594.78;1009.24
35.987.640/0001-11;Araújo e Filhos;917968;2025-03-01;827566;A vantagem de inovar sem preocupação;9;943.32;1822.15
35.987.640/0001-11;Araújo e Filhos;917968;2025-03-01;957647;O direito de ganhar mais facilmente;2;406.61;129.22
35.987.640/0001-11;Araújo e Filhos;304511;2024-11-23;159655;O direito de avançar mais rapidamente;3;587.81;357.71
35.987.640/0001-11;Araújo e Filhos;304511;2024-11-23;375438;O direito de avançar com força total;6;797.05;627.57
35.987.640/0001-11;Araújo e Filhos;127260;2025-03-16;161189;O conforto de evoluir com força total;3;51.73;14.16
35.987.640/0001-11;Araújo e Filhos;127260;2025-03-16;157285;O prazer de mudar mais rapidamente;6;60.63;31.28
35.987.640/0001-11;Araújo e Filhos;127260;2025-03-16;327354;A vantagem de mudar em estado puro;9;885.67;1449.16
35.987.640/0001-11;Araújo e Filhos;127260;2025-03-16;110916;O direito de concretizar seus projetos com toda a tranquilidade;1;192.43;27.96
35.987.640/0001-11;Araújo e Filhos;831080;2025-04-30;949582;A certeza de conseguir com força total;1;990.82;115.24
35.987.640/0001-11;Araújo e Filhos;831080;2025-04-30;704192;A simplicidade de mudar com toda a tranquilidade;2;275.62;91.58
35.987.640/0001-11;Araújo e Filhos;831080;2025-04-30;166587;O conforto de mudar mais facilmente;5;372.21;404.0
35.987.640/0001-11;Araújo e Filhos;987556;2025-03-01;749629;O conforto de conseguir naturalmente;5;997.86;522.02
35.987.640/0001-11;Araújo e Filhos;987556;2025-03-01;353328;A vantagem de concretizar seus projetos com toda a tranquilidade;1;417.02;70.12
35.987.640/0001-11;Araújo e Filhos;987556;2025-03-01;331756;A simplicidade de inovar com confiança;9;958.98;868.19
35.987.640/0001-11;Araújo e Filhos;910110;2025-01-07;860510;O prazer de mudar com toda a tranquilidade;5;527.27;549.9
35.987.640/0001-11;Araújo e Filhos;228545;2025-04-15;733505;O poder de avançar em estado puro;2;970.58;220.46
35.987.640/0001-11;Araújo e Filhos;546332;2024-12-27;851983;A certeza de evoluir mais rapidamente;7;756.21;1070.56
35.987.640/0001-11;Araújo e Filhos;546332;2024-12-27;271270;O conforto de inovar com força total;6;792.97;970.72
35.987.640/0001-11;Araújo e Filhos;546332;2024-12-27;672957;O direito de avançar sem preocupação;10;252.69;631.14
35.987.640/0001-11;Araújo e Filhos;546332;2024-12-27;890432;O poder de inovar em estado puro;6;335.39;416.15
35.987.640/0001-11;Araújo e Filhos;683051;2025-02-26;983384;O direito de avançar com força total;9;625.96;326.87
35.987.640/0001-11;Araújo e Filhos;683051;2025-02-26;993084;O poder de ganhar com força total;1;206.45;47.71
35.987.640/0001-11;Araújo e Filhos;683051;2025-02-26;818510;A segurança de avançar simplesmente;6;589.62;728.11
35.987.640/0001-11;Araújo e Filhos;683051;2025-02-26;414231;A liberdade de inovar com força total;5;300.07;231.65
35.987.640/0001-11;Araújo e Filhos;190178;2024-11-21;168308;O direito de realizar seus sonhos direto da fonte;3;300.26;197.33
35.987.640/0001-11;Araújo e Filhos;190178;2024-11-21;354166;A certeza de evoluir com força total;7;223.49;218.08
35.987.640/0001-11;Araújo e Filhos;190178;2024-11-21;495032;A liberdade de concretizar seus projetos mais rapidamente;8;748.57;1113.64
35.987.640/0001-11;Araújo e Filhos;190178;2024-11-21;379223;A arte de atingir seus objetivos antes de tudo;5;579.32;705.48
35.987.640/0001-11;Araújo e Filhos;620158;2025-01-15;376917;O conforto de ganhar naturalmente;9;870.42;795.86
35.987.640/0001-11;Araújo e Filhos;620158;2025-01-15;812443;A certeza de atingir seus objetivos em estado puro;6;939.61;352.71
35.987.640/0001-11;Araújo e Filhos;620158;2025-01-15;314579;O direito de avançar antes de tudo;6;692.01;954.72
35.987.640/0001-11;Araújo e Filhos;620158;2025-01-15;195423;A arte de avançar naturalmente;3;596.18;162.61
35.987.640/0001-11;Araújo e Filhos;652067;2025-04-30;625819;A liberdade de realizar seus sonhos sem preocupação;7;829.36;429.74
35.987.640/0001-11;Araújo e Filhos;652067;2025-04-30;985190;A segurança de mudar em estado puro;4;450.18;147.16
35.987.640/0001-11;Araújo e Filhos;652067;2025-04-30;156797;A vantagem de concretizar seus projetos direto da fonte;3;429.53;178.48
35.987.640/0001-11;Araújo e Filhos;652067;2025-04-30;830539;A segurança de mudar com toda a tranquilidade;2;169.65;67.93
35.987.640/0001-11;Araújo e Filhos;652067;2025-04-30;454849;A certeza de concretizar seus projetos com confiança;10;236.38;409.83
35.987.640/0001-11;Araújo e Filhos;268318;2025-02-16;140808;A segurança de mudar com confiança;4;466.54;294.32
35.987.640/0001-11;Araújo e Filhos;679177;2024-12-14;616674;A possibilidade de conseguir em estado puro;2;461.33;150.58
35.987.640/0001-11;Araújo e Filhos;679177;2024-12-14;297623;O prazer de mudar mais rapidamente;2;76.86;35.52
35.987.640/0001-11;Araújo e Filhos;679177;2024-12-14;169723;O prazer de evoluir sem preocupação;8;400.75;673.29
35.987.640/0001-11;Araújo e Filhos;679177;2024-12-14;904273;A possibilidade de inovar naturalmente;6;615.36;641.87
35.987.640/0001-11;Araújo e Filhos;679177;2024-12-14;786519;O direito de mudar sem preocupação;2;347.91;173.78
35.987.640/0001-11;Araújo e Filhos;373743;2025-03-01;374334;O poder de mudar com força total;9;289.22;260.24
35.987.640/0001-11;Araújo e Filhos;790257;2025-02-20;390880;O prazer de inovar naturalmente;9;511.68;376.18
35.987.640/0001-11;Araújo e Filhos;790257;2025-02-20;652659;A possibilidade de inovar de maneira eficaz;5;368.31;119.14
35.987.640/0001-11;Araújo e Filhos;790257;2025-02-20;686087;A certeza de concretizar seus projetos mais facilmente;5;462.13;404.82
35.987.640/0001-11;Araújo e Filhos;140281;2025-02-08;871170;A arte de ganhar em estado puro;10;910.76;829.87
35.987.640/0001-11;Araújo e Filhos;140281;2025-02-08;116950;O direito de ganhar simplesmente;10;728.01;938.06
35.987.640/0001-11;Araújo e Filhos;140281;2025-02-08;293217;A vantagem de atingir seus objetivos simplesmente;2;392.02;88.14
35.987.640/0001-11;Araújo e Filhos;140281;2025-02-08;281654;A segurança de ganhar com confiança;1;473.43;79.92
35.987.640/0001-11;Araújo e Filhos;603574;2025-02-13;466327;O poder de evoluir sem preocupação;5;592.48;370.41
35.987.640/0001-11;Araújo e Filhos;603574;2025-02-13;543194;O conforto de realizar seus sonhos com força total;4;396.2;374.01
35.987.640/0001-11;Araújo e Filhos;603574;2025-02-13;448120;O prazer de concretizar seus projetos mais rapidamente;9;918.96;1828.27
35.987.640/0001-11;Araújo e Filhos;603574;2025-02-13;299604;A segurança de evoluir naturalmente;1;751.2;101.64
35.987.640/0001-11;Araújo e Filhos;603052;2025-05-02;981644;O prazer de concretizar seus projetos com toda a tranquilidade;7;448.13;277.47
35.987.640/0001-11;Araújo e Filhos;603052;2025-05-02;488669;A vantagem de atingir seus objetivos direto da fonte;10;119.92;184.16
35.987.640/0001-11;Araújo e Filhos;603052;2025-05-02;773634;A arte de realizar seus sonhos naturalmente;3;906.14;191.76
35.987.640/0001-11;Araújo e Filhos;603052;2025-05-02;427548;A liberdade de concretizar seus projetos em estado puro;1;252.67;50.1
35.987.640/0001-11;Araújo e Filhos;452612;2024-11-20;253910;A simplicidade de inovar simplesmente;3;65.65;26.04
35.987.640/0001-11;Araújo e Filhos;452612;2024-11-20;635531;O poder de avançar direto da fonte;10;509.46;1074.32
35.987.640/0001-11;Araújo e Filhos;452612;2024-11-20;828866;O direito de evoluir com confiança;1;126.25;23.8
35.987.640/0001-11;Araújo e Filhos;554425;2025-01-11;571331;A segurança de ganhar de maneira eficaz;8;438.22;747.82
35.987.640/0001-11;Araújo e Filhos;554425;2025-01-11;556569;A arte de ganhar naturalmente;10;379.5;710.18
35.987.640/0001-11;Araújo e Filhos;554425;2025-01-11;862879;A simplicidade de realizar seus sonhos naturalmente;7;131.56;80.45
35.987.640/0001-11;Araújo e Filhos;937293;2025-03-03;680524;O conforto de evoluir mais rapidamente;8;736.99;650.28
35.987.640/0001-11;Araújo e Filhos;913894;2025-03-12;701453;A vantagem de mudar sem preocupação;5;956.83;943.14
35.987.640/0001-11;Araújo e Filhos;494190;2025-05-10;146915;A simplicidade de concretizar seus projetos direto da fonte;1;187.22;45.97
35.987.640/0001-11;Araújo e Filhos;420911;2025-01-02;789902;A certeza de conseguir sem preocupação;3;516.67;252.62
35.987.640/0001-11;Araújo e Filhos;420911;2025-01-02;111193;A liberdade de realizar seus sonhos mais facilmente;4;148.12;99.42
35.987.640/0001-11;Araújo e Filhos;420911;2025-01-02;438860;O direito de ganhar com força total;1;370.97;38.06
35.987.640/0001-11;Araújo e Filhos;420911;2025-01-02;563278;A liberdade de atingir seus objetivos com confiança;5;763.7;288.64
35.987.640/0001-11;Araújo e Filhos;207595;2025-01-01;375236;A certeza de mudar naturalmente;10;647.75;1501.73
35.987.640/0001-11;Araújo e Filhos;207595;2025-01-01;264067;O prazer de mudar naturalmente;5;576.33;528.38
35.987.640/0001-11;Araújo e Filhos;207595;2025-01-01;374162;A vantagem de inovar com confiança;6;131.65;141.74
35.987.640/0001-11;Araújo e Filhos;295678;2025-01-10;520299;A liberdade de atingir seus objetivos com toda a tranquilidade;7;937.84;592.65
35.987.640/0001-11;Araújo e Filhos;295678;2025-01-10;428866;A vantagem de conseguir com força total;7;860.44;1027.81
35.987.640/0001-11;Araújo e Filhos;295678;2025-01-10;826496;A certeza de mudar com força total;1;115.22;22.63
35.987.640/0001-11;Araújo e Filhos;740523;2025-04-18;801157;A simplicidade de mudar com força total;7;700.11;1164.55
35.987.640/0001-11;Araújo e Filhos;433895;2025-01-01;140249;A liberdade de avançar direto da fonte;10;450.79;551.46
35.987.640/0001-11;Araújo e Filhos;433895;2025-01-01;900710;A certeza de concretizar seus projetos de maneira eficaz;8;481.09;899.3
35.987.640/0001-11;Araújo e Filhos;433895;2025-01-01;677613;O conforto de avançar com toda a tranquilidade;3;110.38;65.5
35.987.640/0001-11;Araújo e Filhos;433895;2025-01-01;653162;O poder de evoluir simplesmente;2;328.34;89.64
35.987.640/0001-11;Araújo e Filhos;433895;2025-01-01;826537;A possibilidade de ganhar em estado puro;1;234.1;46.25
35.987.640/0001-11;Araújo e Filhos;611283;2025-02-19;241765;O conforto de inovar sem preocupação;7;763.35;350.66
35.987.640/0001-11;Araújo e Filhos;611283;2025-02-19;807971;A arte de avançar sem preocupação;6;715.98;636.45
35.987.640/0001-11;Araújo e Filhos;611283;2025-02-19;811329;O conforto de mudar direto da fonte;9;869.23;1911.55
35.987.640/0001-11;Araújo e Filhos;611283;2025-02-19;860086;A possibilidade de ganhar mais rapidamente;3;669.71;495.5
35.987.640/0001-11;Araújo e Filhos;385066;2025-04-16;605645;A segurança de inovar em estado puro;5;813.48;661.08
35.987.640/0001-11;Araújo e Filhos;385066;2025-04-16;624193;O direito de ganhar direto da fonte;6;457.72;356.85
35.987.640/0001-11;Araújo e Filhos;385066;2025-04-16;403207;A vantagem de atingir seus objetivos direto da fonte;1;342.37;18.07
35.987.640/0001-11;Araújo e Filhos;385066;2025-04-16;328070;O prazer de mudar sem preocupação;4;70.89;41.27
35.987.640/0001-11;Araújo e Filhos;385066;2025-04-16;620100;A vantagem de realizar seus sonhos antes de tudo;6;474.65;608.72
35.987.640/0001-11;Araújo e Filhos;974468;2025-05-10;142059;A liberdade de avançar direto da fonte;10;90.42;125.28
35.987.640/0001-11;Araújo e Filhos;611914;2025-04-22;140263;A certeza de atingir seus objetivos mais rapidamente;9;228.42;440.51
35.987.640/0001-11;Araújo e Filhos;927513;2024-12-11;602445;A segurança de inovar sem preocupação;7;373.59;589.62
35.987.640/0001-11;Araújo e Filhos;927513;2024-12-11;475403;O prazer de mudar em estado puro;4;933.61;561.3
35.987.640/0001-11;Araújo e Filhos;927513;2024-12-11;241340;O poder de concretizar seus projetos antes de tudo;4;767.5;681.06
35.987.640/0001-11;Araújo e Filhos;927513;2024-12-11;516082;A vantagem de evoluir naturalmente;6;632.68;540.06
35.987.640/0001-11;Araújo e Filhos;927513;2024-12-11;496346;O direito de atingir seus objetivos com toda a tranquilidade;8;939.27;1056.07
35.987.640/0001-11;Araújo e Filhos;504630;2024-11-20;161253;A simplicidade de concretizar seus projetos sem preocupação;7;722.92;1128.26
35.987.640/0001-11;Araújo e Filhos;504630;2024-11-20;106698;A arte de avançar direto da fonte;6;851.19;1046.1
35.987.640/0001-11;Araújo e Filhos;504630;2024-11-20;560079;A possibilidade de ganhar de maneira eficaz;2;50.78;7.29
35.987.640/0001-11;Araújo e Filhos;507193;2025-01-30;276856;A simplicidade de avançar sem preocupação;5;835.56;696.66
35.987.640/0001-11;Araújo e Filhos;507193;2025-01-30;963010;A liberdade de mudar direto da fonte;9;169.65;125.19
35.987.640/0001-11;Araújo e Filhos;507193;2025-01-30;284127;A segurança de ganhar simplesmente;3;638.87;233.36
35.987.640/0001-11;Araújo e Filhos;507193;2025-01-30;705942;A vantagem de mudar mais rapidamente;5;130.97;121.77
35.987.640/0001-11;Araújo e Filhos;507193;2025-01-30;591422;A vantagem de mudar simplesmente;10;425.61;304.32
35.987.640/0001-11;Araújo e Filhos;635135;2025-01-16;249037;A vantagem de conseguir com toda a tranquilidade;3;959.66;277.65
35.987.640/0001-11;Araújo e Filhos;635135;2025-01-16;929678;O conforto de realizar seus sonhos com toda a tranquilidade;4;131.54;77.93
35.987.640/0001-11;Araújo e Filhos;635135;2025-01-16;566248;O prazer de conseguir mais facilmente;5;704.81;528.72
35.987.640/0001-11;Araújo e Filhos;635135;2025-01-16;656628;A arte de mudar com força total;8;408.84;637.32
35.987.640/0001-11;Araújo e Filhos;536404;2025-01-15;939300;O conforto de inovar de maneira eficaz;4;853.02;526.85
35.987.640/0001-11;Araújo e Filhos;536404;2025-01-15;549931;O poder de realizar seus sonhos mais rapidamente;8;801.83;545.56
35.987.640/0001-11;Araújo e Filhos;536404;2025-01-15;121494;O direito de concretizar seus projetos antes de tudo;10;525.58;359.66
35.987.640/0001-11;Araújo e Filhos;536404;2025-01-15;257081;O direito de realizar seus sonhos simplesmente;7;932.96;1013.48
35.987.640/0001-11;Araújo e Filhos;536404;2025-01-15;875924;A liberdade de realizar seus sonhos com toda a tranquilidade;4;893.17;537.86
35.987.640/0001-11;Araújo e Filhos;636976;2025-02-10;891137;A segurança de concretizar seus projetos naturalmente;2;473.69;160.54
35.987.640/0001-11;Araújo e Filhos;636976;2025-02-10;139835;A liberdade de avançar sem preocupação;7;927.57;1238.03
35.987.640/0001-11;Araújo e Filhos;636976;2025-02-10;936499;O prazer de avançar antes de tudo;8;779.26;1248.27
35.987.640/0001-11;Araújo e Filhos;636976;2025-02-10;560181;O prazer de evoluir com toda a tranquilidade;8;725.11;1090.44
35.987.640/0001-11;Araújo e Filhos;129554;2025-03-15;562308;O poder de realizar seus sonhos com toda a tranquilidade;7;494.53;786.73
